model,p,block_len,fm_emp,fm_emp_lo,fm_emp_hi,selected,fm_sel,fm_sel_lo,fm_sel_hi,estimator_note,param_name,fm_param,fm_param_lo,fm_param_hi,param_bic,param_aic
BLR,0.05,25,12.874901196602522,12.812866499237899,12.940292035253195,empirical,12.874901196602522,12.812866499237899,12.940292035253195,empirical quantile (BC bootstrap),gmm,12.752315614001358,,,9205197.004370924,9205100.130390823
BLR,0.02,25,19.398204755598293,19.274060652008284,19.535272490492982,gmm-tail,21.63623085334062,19.274060652008284,19.535272490492982,gmm tail (BIC-min),gmm,21.63623085334062,,,9205197.004370924,9205100.130390823
BLR,0.01,25,27.743903275027524,27.353052775484063,28.140164563610824,empirical,27.743903275027524,27.353052775484063,28.140164563610824,empirical quantile (BC bootstrap),gmm,27.729662539023444,,,9205197.004370924,9205100.130390823
MLR,0.05,25,12.874926780847552,12.81285149989287,12.940230647659018,empirical,12.874926780847552,12.81285149989287,12.940230647659018,empirical quantile (BC bootstrap),gmm,12.597441264777254,,,9204091.496518921,9203994.62253882
MLR,0.02,25,19.398263053264635,19.274102777217326,19.535250851879702,gmm-tail,21.48575664974142,19.274102777217326,19.535250851879702,gmm tail (BIC-min),gmm,21.48575664974142,,,9204091.496518921,9203994.62253882
MLR,0.01,25,27.743896077632616,27.3530661124349,28.14011401590509,gmm-tail,27.906686740867265,27.3530661124349,28.14011401590509,gmm tail (BIC-min),gmm,27.906686740867265,,,9204091.496518921,9203994.62253882
POLY2,0.05,25,11.707493799080956,11.633914553340256,11.783207694856936,empirical,11.707493799080956,11.633914553340256,11.783207694856936,empirical quantile (BC bootstrap),gmm,11.118697061476432,,,9290663.108056983,9290565.801776098
POLY2,0.02,25,18.286782287392832,18.170481016211593,18.408812619160987,gmm-tail,19.71537387565204,18.170481016211593,18.408812619160987,gmm tail (BIC-min),gmm,19.71537387565204,,,9290663.108056983,9290565.801776098
POLY2,0.01,25,24.486975841574132,24.302247070763194,24.65631745441147,gmm-tail,25.725923703880902,24.302247070763194,24.65631745441147,gmm tail (BIC-min),gmm,25.725923703880902,,,9290663.108056983,9290565.801776098
